17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,0
5,5,5,5,5,5,5,5,5,5,10
6,6,6,6,6,6,6,6,6,6,20
7,7,7,7,7,7,7,7,7,7,30
8,8,8,8,8,8,8,8,8,8,40
9,9,9,9,9,9,9,9,9,9,50
10,10,10,10,10,10,10,10,10,10,60
11,---,---,---,---,---,---,---,---,---,61
12,11,---,---,---,---,---,---,---,---,62
---,---,11,---,---,---,---,---,---,---,63
13,---,---,11,---,---,---,---,---,---,64
14,12,12,---,---,---,---,---,---,---,65
15,---,---,12,---,---,---,---,---,---,66
---,---,---,---,11,11,11,11,11,---,67
16,13,13,---,---,---,---,---,---,---,68
17,14,---,---,---,---,---,---,---,11,69
18,15,14,13,---,---,---,---,---,---,70
19,16,---,---,---,---,---,---,---,---,71
20,17,15,14,12,---,---,---,---,---,72
---,---,---,15,---,12,---,---,---,---,73
21,18,16,16,---,---,12,12,---,---,74
22,---,---,17,---,---,---,---,---,---,75
23,19,17,---,13,---,---,---,---,---,76
24,21,18,---,---,---,---,---,12,---,77
25,22,19,18,14,---,---,---,---,---,78
26,23,20,---,15,13,---,---,---,12,79
27,---,21,19,16,---,---,---,---,---,80
---,---,---,22,---,14,13,---,---,---,81
28,24,22,---,17,---,---,13,---,---,82
29,25,23,23,18,15,14,---,---,---,83
30,26,24,---,19,---,15,---,13,---,84
31,27,---,24,---,16,16,14,---,---,85
32,28,25,---,20,17,17,---,---,13,86
33,30,26,25,---,18,---,15,---,---,87
34,31,27,26,21,19,18,16,---,---,88
35,32,28,28,---,---,19,---,14,14,89
36,33,30,30,22,20,20,17,15,15,90
37,34,32,31,23,21,21,18,16,16,91
38,35,33,32,26,22,22,19,17,17,92
---,36,34,34,27,23,23,20,---,---,93
39,37,35,35,28,24,24,22,18,18,94
42,39,36,36,31,26,25,23,19,19,95
43,42,38,37,33,28,27,24,20,20,96
45,43,39,40,34,30,30,25,21,21,97
47,46,42,43,36,31,31,26,22,22,98
50,49,45,46,39,34,34,28,23,23,99
53,50,48,47,41,36,35,30,24,24,100
