17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,0
5,5,5,5,5,5,5,5,5,5,10
6,6,6,6,6,6,6,6,6,6,20
7,7,7,7,7,7,7,7,7,7,30
8,8,8,8,8,8,8,8,8,8,40
9,9,9,9,9,9,9,9,9,9,50
10,10,10,10,10,10,10,10,10,10,60
13,12,11,11,11,---,---,---,---,---,61
16,13,12,12,---,11,---,---,---,---,62
17,14,14,13,12,---,11,---,---,---,63
20,16,16,14,13,12,---,11,---,---,64
22,17,18,16,14,13,---,---,11,---,65
23,20,20,17,15,14,12,---,---,---,66
24,---,---,19,16,15,---,12,---,---,67
25,21,---,20,17,16,13,---,12,11,68
27,22,21,21,19,17,14,13,---,---,69
28,25,23,22,20,18,15,---,---,---,70
29,26,26,23,21,19,16,14,13,12,71
30,27,27,24,22,---,17,15,---,---,72
31,30,29,26,23,20,18,---,14,---,73
---,---,30,28,24,21,19,16,---,13,74
32,---,31,29,25,22,20,---,15,---,75
33,31,---,30,26,23,---,17,16,14,76
34,32,32,31,27,25,21,18,---,15,77
35,33,33,---,28,26,---,19,17,---,78
36,34,34,32,29,27,22,20,---,16,79
37,35,35,---,30,28,23,21,18,17,80
---,---,36,33,31,29,25,22,19,18,81
38,37,37,34,---,30,27,---,20,19,82
39,38,38,36,32,31,28,23,21,20,83
40,40,40,38,33,---,29,24,22,21,84
---,41,41,39,34,32,30,25,---,22,85
41,42,42,40,37,33,31,26,23,---,86
42,43,43,41,38,34,32,27,24,23,87
43,44,44,42,39,36,---,28,25,---,88
44,45,45,43,41,37,33,30,26,24,89
45,46,46,44,42,38,34,31,29,26,90
46,47,47,45,43,41,36,32,30,29,91
47,48,48,47,44,42,38,33,31,30,92
48,49,49,48,45,43,39,34,33,31,93
49,50,51,50,46,44,41,35,34,33,94
50,52,52,52,48,46,42,38,35,34,95
51,53,53,53,51,48,44,40,37,35,96
53,54,55,54,53,50,47,43,38,37,97
54,57,56,56,54,53,50,45,40,39,98
56,60,59,59,57,55,53,48,43,41,99
57,61,62,60,59,56,55,51,46,43,100
