17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
80,80,80,80,80,80,80,80,80,80,0
90,90,90,90,90,90,90,90,90,90,10
100,100,100,100,100,100,100,100,100,100,20
110,110,110,110,110,110,110,110,110,110,30
120,120,120,120,120,120,120,120,120,120,40
130,130,130,130,130,130,130,130,130,130,50
140,140,140,140,140,140,140,140,140,140,60
150,150,---,---,---,---,---,---,---,---,61
---,---,---,---,---,---,---,---,---,---,62
---,---,150,---,---,---,---,---,---,---,63
160,---,---,---,---,---,---,---,---,---,64
---,160,160,---,---,---,---,---,---,---,65
---,---,---,150,---,---,---,---,---,---,66
170,170,---,---,---,---,---,---,---,---,67
180,---,170,160,150,---,---,---,---,---,68
190,180,180,170,---,150,---,---,---,---,69
---,190,190,180,160,---,150,150,---,---,70
---,200,200,190,170,---,---,---,150,---,71
200,---,---,---,180,---,---,---,---,150,72
---,210,210,200,---,160,---,---,---,---,73
210,---,---,---,190,---,---,---,---,---,74
---,220,220,210,---,170,---,---,---,---,75
---,---,---,---,200,180,---,---,---,---,76
220,230,230,220,---,190,---,---,---,---,77
---,---,---,---,210,---,160,---,---,---,78
230,240,240,230,---,200,---,160,160,---,79
---,---,---,---,---,---,170,---,---,---,80
---,250,250,240,220,210,180,---,---,---,81
240,---,---,---,230,---,---,---,---,160,82
250,---,---,250,---,---,190,---,---,---,83
260,260,260,---,240,220,---,170,---,---,84
---,---,270,260,---,230,200,180,---,---,85
---,270,---,---,250,---,---,190,---,---,86
270,---,280,270,---,240,210,---,---,---,87
---,280,290,280,260,---,---,200,---,---,88
---,290,300,290,---,250,220,---,170,---,89
280,310,310,300,270,---,230,210,---,---,90
290,---,320,310,280,260,240,---,180,---,91
---,320,---,---,290,270,250,---,---,170,92
300,---,---,320,300,280,260,220,190,180,93
---,---,---,---,310,290,270,230,200,190,94
310,---,---,---,320,300,280,240,---,200,95
---,---,---,---,---,310,290,250,210,---,96
330,---,---,---,---,320,300,260,220,---,97
---,---,---,---,---,---,310,270,230,210,98
330,330,330,330,330,330,320,280,240,220,99
340,340,340,340,340,340,330,290,250,230,100
