17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
100,55,50,45,40,40,40,40,40,40,0
---,---,---,---,---,---,---,---,---,---,1
101,56,51,46,41,41,41,41,41,41,2
---,---,---,---,---,---,---,---,---,---,3
102,57,52,47,42,42,42,42,42,42,4
---,---,---,---,---,---,---,---,---,---,5
103,58,53,48,43,43,43,43,43,43,6
---,---,---,---,---,---,---,---,---,---,7
104,59,54,49,44,44,44,44,44,44,8
---,---,---,---,---,---,---,---,---,---,9
105,100,55,50,45,45,45,45,45,45,10
---,---,---,---,---,---,---,---,---,---,11
106,101,56,51,46,46,46,46,46,46,12
---,---,---,---,---,---,---,---,---,---,13
107,102,57,52,47,47,47,47,47,47,14
---,---,---,---,---,---,---,---,---,---,15
108,103,58,53,48,48,48,48,48,48,16
---,---,---,---,---,---,---,---,---,---,17
109,104,59,54,49,49,49,49,49,49,18
---,---,---,---,---,---,---,---,---,---,19
110,105,100,55,50,50,50,50,50,50,20
---,---,---,---,---,---,---,---,---,---,21
111,106,101,56,51,51,51,51,51,51,22
---,---,---,---,---,---,---,---,---,---,23
112,107,102,57,52,52,52,52,52,52,24
---,---,---,---,---,---,---,---,---,---,25
113,108,103,58,53,53,53,53,53,53,26
---,---,---,---,---,---,---,---,---,---,27
114,109,104,59,54,54,54,54,54,54,28
---,---,---,---,---,---,---,---,---,---,29
115,110,105,100,55,55,55,55,55,55,30
---,---,---,---,---,---,---,---,---,---,31
116,111,106,101,56,56,56,56,56,56,32
---,---,---,---,---,---,---,---,---,---,33
117,112,107,102,57,57,57,57,57,57,34
---,---,---,---,---,---,---,---,---,---,35
118,113,108,103,58,58,58,58,58,58,36
---,---,---,---,---,---,---,---,---,---,37
119,114,109,104,59,59,59,59,59,59,38
---,---,---,---,---,---,---,---,---,---,39
120,115,110,105,100,100,100,100,100,100,40
---,---,---,---,---,---,---,---,---,---,41
121,116,111,106,101,101,101,101,101,101,42
---,---,---,---,---,---,---,---,---,---,43
122,117,112,107,102,102,102,102,102,102,44
---,---,---,---,---,---,---,---,---,---,45
123,118,113,108,103,103,103,103,103,103,46
---,---,---,---,---,---,---,---,---,---,47
124,119,114,109,104,104,104,104,104,104,48
---,---,---,---,---,---,---,---,---,---,49
125,120,115,110,105,105,105,105,105,105,50
---,---,---,---,---,---,---,---,---,---,51
126,121,116,111,106,106,106,106,106,106,52
---,---,---,---,---,---,---,---,---,---,53
127,122,117,112,107,107,107,107,107,107,54
---,---,---,---,---,---,---,---,---,---,55
128,123,118,113,108,108,108,108,108,108,56
---,---,---,---,---,---,---,---,---,---,57
129,124,119,114,109,109,109,109,109,109,58
---,---,---,---,---,---,---,---,---,---,59
130,125,120,115,110,110,110,110,110,110,60
133,128,123,118,113,113,113,113,113,113,61
137,132,126,122,116,116,116,116,116,116,62
140,135,130,125,120,120,120,120,120,120,63
143,138,133,128,123,123,123,123,123,123,64
146,141,136,131,126,126,126,126,126,126,65
149,145,139,135,130,130,130,130,130,130,66
153,148,143,138,133,133,133,133,133,133,67
156,151,146,141,136,136,136,136,136,136,68
159,154,149,144,139,139,139,139,139,139,69
202,158,152,147,142,142,142,142,142,142,70
206,201,156,151,146,146,146,146,146,146,71
209,204,159,154,149,149,149,149,149,149,72
212,207,202,157,152,152,152,152,152,152,73
215,210,206,200,156,156,156,156,156,156,74
219,214,209,204,159,159,159,159,159,159,75
222,217,212,207,202,202,202,202,202,202,76
225,220,215,210,205,205,205,205,205,205,77
229,223,218,213,208,208,208,208,208,208,78
232,227,222,217,212,212,212,212,212,212,79
235,230,225,220,215,215,215,215,215,215,80
238,233,228,223,218,218,218,218,218,218,81
241,237,231,227,222,222,222,222,222,222,82
245,240,235,230,225,225,225,225,225,225,83
248,243,238,233,228,228,228,228,228,228,84
251,246,241,236,231,231,231,231,231,231,85
255,250,245,240,235,235,235,235,235,235,86
258,253,248,243,238,238,238,238,238,238,87
301,256,251,246,241,241,241,241,241,241,88
304,259,254,249,244,244,244,244,244,244,89
308,303,258,253,247,247,247,247,247,247,90
311,306,301,256,251,251,251,251,251,251,91
314,309,304,259,254,254,254,254,254,254,92
317,312,307,302,257,257,257,257,257,257,93
321,316,311,306,301,301,301,301,301,301,94
324,319,314,309,304,304,304,304,304,304,95
327,322,317,312,307,307,307,307,307,307,96
330,325,320,315,310,310,310,310,310,310,97
334,329,324,319,314,314,314,314,314,314,98
337,332,327,322,317,317,317,317,317,317,99
340,335,330,325,320,320,320,320,320,320,100
